title,link,description,cafename,cafeurl
미밴드7 수면측정,http://cafe.naver.com/xst/574769,수면이 자동으로 체크되는데 수면 동기화 안되는 방법은 따로 없나요? 기본값인가요?,샤오미스토리 - 가성비 유저 커뮤니티,https://cafe.naver.com/xst
베뉴시리즈 수면측정은 매우정확합니다,http://cafe.naver.com/finisherclub/54679,압도적 정확도 수면측정 업계 1위 핏빗의 최신 모델과 가민 베뉴2 8.15버전 수면정확도 비교입니다. 거의 같아요. 곧 9.11버전 나오는데 수면측정이 더 정확해진다합니다. 이제 수면측정 때문에 핏빗 산다는 것도... ,피니셔클럽,https://cafe.naver.com/finisherclub
피닉스6 수면측정...,http://cafe.naver.com/finisherclub/55290,와이파이 연결해제하고 측정해보고 펄스옥시미터 수면중으로바꿔서 측정해보고 했는데 핸드폰이랑 재연결 해보고 했는데 수면측정이 안되네요 ㅠㅠ 초기화가 답인가요?,피니셔클럽,https://cafe.naver.com/finisherclub
피닉스6 수면측정,http://cafe.naver.com/finisherclub/55206,제가 요번에 인스팅트에서 피닉스6로 기변을 하였는데요! 인스팅트에선 아무런 조작없이 수면측정이 되었는데 피닉스6에선 수면측정이 안되네요.. 혹시 방법 아시는 고수분들 도움 좀 부탁드립니다,피니셔클럽,https://cafe.naver.com/finisherclub
미밴드7 수면측정 렘수면 측정 안되는경우??,http://cafe.naver.com/xst/564652,제가 착용했을때에는 꽤 정확해 보이는 수면측정 결과가 나왔는데 와이프가 쓰니까 렘수면이 측정이 안되네요 실제로 그렇진 않을것 같은데 깨어있는 시간이나 총시간은 거의 정확한데 이런경우가 또 있을까요? 한가지... ,샤오미스토리 - 가성비 유저 커뮤니티,https://cafe.naver.com/xst
수면 측정...,http://cafe.naver.com/facebot/1034405,저도 수면 측정을 해봤네요. 원래 잘땐 아무것도 하지 않는게 편한데.... 궁금해서.. 이건 코를 1시간 17분 동안 골았다는걸까요? 우리는 가족이 다 같이 자는데.. 꼭 날까? 아님 애들? .. 깊은 수면이 39분.. 푹 자고 싶네요..... ,갤럭시워치 커뮤니티 [갤럭시워치5 / ...,https://cafe.naver.com/facebot
[정보]watchOS 수면 측정,http://cafe.naver.com/appleiphone/7371554,"watchOS9에서 수면 단계 측정이 제대로 안 되시는 분들 (아예 초록색으로만 나오거나, 중간이 표시가 안 되고 뭉뚱그려진 칸으로만 존재하는 경우) 이러한 현상이 존재하는 경우 타사 앱에 의해서 데이터 형식이 “수면”... ",아사모 -[아이폰14 / Plus / Pro / Ma...,https://cafe.naver.com/appleiphone
베뉴 sq 적색센서... ㅠㅜ 눈부셔요...(수면측정은 엉망 ),http://cafe.naver.com/finisherclub/54844,깊은잠을 1시간이상 자본적이 없는데 ;; 그리고 워치4 심박센서 꺼놔도. 수면중 다 측정되는데.. sq는 매번 수면때마다 심박센서 켜줘야하니 너무 불편하네요 ㅠㅠ 혹시 인스팅트 2 는 수면측정 개선이 많이 됐을까요?,피니셔클럽,https://cafe.naver.com/finisherclub
워치 수면 측정 켜두고 자면 배터리 더 많이 닳아요?,http://cafe.naver.com/appleiphone/7542704,수면모드로 자면 그냥 잘때 보다 아침에 배터리 훨씬 많이 닳아있나요?,아사모 -[아이폰14 / Plus / Pro / Ma...,https://cafe.naver.com/appleiphone
워치os9 수면 측정 할때,http://cafe.naver.com/appleiphone/7452705,시간 지정을 해야 측정이 되는건가요?.. 어떤분은 오토슬립처럼 그냥 차고 자면 된다하고.. 어떤분은 이전처럼 시간 지정 해야 측정 된다하시는분이 계셔서 모르겄네유 만약 시간 지정 해야하면 오토슬립 다시 살까 합니당..,아사모 -[아이폰14 / Plus / Pro / Ma...,https://cafe.naver.com/appleiphone
갤럭시 폰 &amp; 워치 수면 측정 알림 질문 좀요,http://cafe.naver.com/anycallusershow/4181579,"제목에는 간략한 질문내용 표시 사용기종 : 폴드3 워치4 전에는 폰 워치 미사용일시 밤에 자동으로 대략적 수면측정이 되어, 워치에서 오전 10시? 11시?에 몇시간 수면했다 알림이 워치에서 떳는데 이 알림이 어느 순감... ",삼성스마트폰-Z플립4/갤폴드4/갤럭시S...,https://cafe.naver.com/anycallusershow
수면의 질 측정,http://cafe.naver.com/mecha4222/108953,"차종, 엔진 형식 : 스마트워치 km, 마일리지 : 튜닝, 운행 조건 : ---------------------------------------------------- 이런거 첨 측정해보는데요 깊은수면을 30분도 못자네요... 이거 자꾸 뒤척여서 그런거죠? 자야지 하고 누우면... ",엔진오일의 불편한 진실,https://cafe.naver.com/mecha4222
수면 측정이 안되요..,http://cafe.naver.com/facebot/1017997,처음에는 차고잤을때 당연히 기록되고 안차고 자도 대략적인 수면시간 측정해서 이정도 잤냐고 묻더니 이젠 묻지도 않고 차고 자도 수면 모드 안누르면 측정이 안되네요. as센타 가야하는건지..,갤럭시워치 커뮤니티 [갤럭시워치5 / ...,https://cafe.naver.com/facebot
수면 모드 기록 운동 앱 질문 있어요.,http://cafe.naver.com/appleiphone/7551197,수면시간 지정설정 안하고 자동으로 수면 측정 안되나요? 그리고 운동앱에서요. 실외걷지 뭐 항목에 자유목표만 나타나는데... 사용자 지정 목표 못 정하나요? 예를 들면 캘럭시와치는 12000보를 지정하면 그게 목표라서... ,아사모 -[아이폰14 / Plus / Pro / Ma...,https://cafe.naver.com/appleiphone
아이폰 수면측정 어플 문의요,http://cafe.naver.com/appleiphone/7273549,폰에 기본 내장된 수면측정 어플 사용해보니 그냥 지정한 시간만 몇시부터 몇시까지 수면을 했다고 표시되던데 혹시 기본 건강어플내 수면측정 사용시 코골이 및 수면 무호흡 측정이 가능한가요?,"아사모 -[아이폰,아이폰13 / Pro / Ma...",https://cafe.naver.com/appleiphone
애플워치수면측정 시간 및 점수확인,http://cafe.naver.com/2003000/11818,애플워치 수면측정 시간 외에 점수도 확인이 가능한가요? 지금 애플워치는 쓰고 있지만 잠잘 때는 충전을 해둬서수면 측적은 미밴드로 하고 있습니다. 그런데 미밴드로 하다가 애플워치수면측정 시간을 확인하려고 하니... ,애페모-스마트/애플워치/페이스/스트랩...,https://cafe.naver.com/2003000
갤럭시 워치4 클래식 수면측정 팁!!,http://cafe.naver.com/facebot/822066,사용기종 : 워치4 클래식 질문내용(구체적으로) : 사용기종 : 정보내용 : 다들 주무실때 워치4 착용하고 수면측정하시나요?? 저는 거의 매일 수면측정을 위해 차고 자는데요... 워낙에 성격이 무던해서 차고 잔다고... ,갤럭시워치 커뮤니티 [갤럭시워치5 / ...,https://cafe.naver.com/facebot
수면측정 심박수 관련 문의드려요!!!,http://cafe.naver.com/facebot/970553,배터리를 위해 심박수측정을 수동으로만 해놓았는데 혹시 그때문인가요?? 심박수측정을 항상으로 해야 된다는 분들이 많아서요. 아니면 10분마다로 해도되는건지 수동으로 해도 수면측정은 상관없는건지 궁금합니다,갤럭시워치 커뮤니티 [갤럭시워치5 / ...,https://cafe.naver.com/facebot
수면 기능이 없는 것 같습니다,http://cafe.naver.com/appleiphone/7476155,워치도 수면 측정 못하고 첫번째 사진 어떤 메뉴도 안들어가집니다 건강에 수면 관련 기능 들어가보면 아이콘이 저 모양이구요 무슨 문제일까요?,아사모 -[아이폰14 / Plus / Pro / Ma...,https://cafe.naver.com/appleiphone
워치4 클래식 수면측정,http://cafe.naver.com/facebot/1025214,사용기종 : 워치4 클래식 46mm 질문내용(구체적으로) : 워치 수면측정 어떻게 하는거에요 방법이 궁금합니다. 코골이도 녹음이 된다고 하던데... 알려주세요~,갤럭시워치 커뮤니티 [갤럭시워치5 / ...,https://cafe.naver.com/facebot
피닉스6X수면 측정에 관한 궁금증??,http://cafe.naver.com/finisherclub/47835,이런 각오는 하루에 수도 없이 하는 일상이다 보니 뭐 그럼 시계라도 구석 구석 파헤쳐볼까 하는 생각을 하다가 문득 생각이 난것이 바로 이 피닉스6X란 놈은 왜 불편하게 꼭 심박을 켜야 수면측정이 되냐는거죠 뭐... ,피니셔클럽,https://cafe.naver.com/finisherclub
안잤는데 수면측정 되는 건 뭔가요?,http://cafe.naver.com/facebot/971542,사용기종 : 갤럭시워치4 질문내용(구체적으로) : 어제 밤 10시쯤부터 새벽 3시까지 폰으로 드라마도 보고 유투브도 보다가 잤는데요 (워치 착용 중이었어요) 저 시간동안 수면측정이 되어있는데 왜그런걸꺄요 자고... ,갤럭시워치 커뮤니티 [갤럭시워치5 / ...,https://cafe.naver.com/facebot
다들 수면측정은 어떻게 하시나요?,http://cafe.naver.com/facebot/998543,낮동안 내내 차고다녀서 밤에는 충전을 하는데 충전중에는 수면측정 안되는거 맞죠? 그럼 다들 밤에 충전을 안하는건데.. 그러면 언제 충전을 하시는건지 궁금합니다 워치 사고 한번도 수면 기능 못써봤네요 ㅠ,갤럭시워치 커뮤니티 [갤럭시워치5 / ...,https://cafe.naver.com/facebot
애플워치7 수면측정 결과가...,http://cafe.naver.com/appleiphone/7525766,일 끝나고 진짜 기절하듯이 꿀잠잤는데 비수면이 간간이 있는게 신기하네요 꿈도 안꾸고 잔거같은데 다들 이렇게도 나오나요?,아사모 -[아이폰14 / Plus / Pro / Ma...,https://cafe.naver.com/appleiphone
미밴드6 수면측정 잘되네요,http://cafe.naver.com/xst/526924,미밴드5는 새벽6시 이후에 잠들면 수면측정이 안됐는데 미밴드6은 새벽6시이후에 잠들어도 수면측정이 되네요! 화면도 커지고 5보다 6이 훨씬 마음에 드네요 단점이라면 홈으로 돌아오는 키가 없어진거요!,샤오미스토리 - 가성비 유저 커뮤니티,https://cafe.naver.com/xst
워치4 수면측정 하는법좀 알려주세요..!,http://cafe.naver.com/anycallusershow/3828428,"30~1시간 잠을 자도 측정되었다는것도 없고, 수면으로 들어가면 시간설정을 했었던거같은데 눌러도 시간설정도 안되고.. 워치에 문제가 생긴건지.. 아님 제가 수면측정 하는법을 모르는건지.. 고수님들 부탁드립니다..!",삼성스마트폰-Z플립4/갤폴드4/갤럭시S...,https://cafe.naver.com/anycallusershow
수면모드가 자꾸 공유됩니다.,http://cafe.naver.com/appleiphone/7485350,"수면측정 시 '모든기기에서 공유' 해제하면 폰은 일반모드, 워치는 수면모드 였는데요 .. 금번 업댓하면서 공유를 해제를 했어도 폰과 워치가 수면모드와 방해금지모드가 공유가 되네요. 해결방법 아시는 분 알려주세요ㅜ... ",아사모 -[아이폰14 / Plus / Pro / Ma...,https://cafe.naver.com/appleiphone
애플워치7 수면측정,http://cafe.naver.com/appleiphone/7025128,애플워치7 수면측정 안되나요?? 그러니까… 제가 자기전에 입력하고 일어나서 끄는거 말구요~ 미밴드처럼 잠자면 알아서 수면 체크 안해주나요???,아사모 -[아이폰14 / Plus / Pro / Ma...,https://cafe.naver.com/appleiphone
애플워치8 수면측정할려면 수면을 켜놔야지만 되는거에요??,http://cafe.naver.com/dieselmania/39569024,애플워치에서 수면 킴 이렇게 해놔야지만 수면측정이 되는건가요?? 그럼 평소에 차고있다가 낮잠 한 2시간자면 이거는 측정이 안되겠네요?,●디젤매니아● 대한민국 일등 패션 커...,https://cafe.naver.com/dieselmania
수면측정 잘 아시는분 계신가요?,http://cafe.naver.com/anycallusershow/3889757,제목에는 간략한 질문내용 표시 사용기종 : 워치4 40mm 블루투스 질문내용 : (구체적으로): 수면 측정을 위해 워치를 착용하고 자는데 매일 지켜보면 깊은 수면은 거의 없네요 ㅠㅠ 수면점수도 낮고요. 혹시 정확도가... ,삼성스마트폰-Z플립4/갤폴드4/갤럭시S...,https://cafe.naver.com/anycallusershow
절전모드 중 수면측정,http://cafe.naver.com/anycallusershow/4089160,제목에는 간략한 질문내용 표시 사용기종 : 워치4 질문내용 : (구체적으로): 절전 모드 켜놓고 수면측정 가능한가요?,삼성스마트폰-Z플립4/갤폴드4/갤럭시S...,https://cafe.naver.com/anycallusershow
수면측정 질문있어요!!,http://cafe.naver.com/appleiphone/7159099,수면시간을 지정하고 워치 수면모드를 켜야 밤에 잘때 수면측정이 된다는 건 이해했는데 낮잠은 수면모드를 키고 자도 측정이 안되네요 찾아보니 수면모드 키면 된다는 댓글을 봐서.. 기본앱으로 낮잠 측정하는 법은... ,아사모 -[아이폰14 / Plus / Pro / Ma...,https://cafe.naver.com/appleiphone
갤럭시 핏2 수면측정 무슨짓을 해도 안되네요..;,http://cafe.naver.com/anycallusershow/3605201,"제목에는 간략한 질문내용 표시 사용기종 : 갤럭시 핏2 질문내용 : (구체적으로): 심박수, 걸음은 측정이 되는거 같은데 수면측정이 무슨짓을 해도 안되네요...ㅠㅠ 기기에서도 수면기록이 없고 앱에서도 무반응... 초기화... ",삼성스마트폰-Z플립4/갤폴드4/갤럭시S...,https://cafe.naver.com/anycallusershow
수면측정,http://cafe.naver.com/finisherclub/48291,수면위젯이 있는 워치를 구입하고자 하는데 수면 위젯이 있는 워치에서 심박을 끄고 수면측정 해보신분 계신가요 심박없이 측정되는지요 수면위젯이 탑제되지 않은 워치는 심박없이 측정됩니다,피니셔클럽,https://cafe.naver.com/finisherclub
애플워치 수면체크,http://cafe.naver.com/appleiphone/7446817,너무 투박한 느낌이라 애플워치를 사보려고 하는데 애플워치 수면 측정 정확한 편인가요? 수면체크를 주로 써서 배터리가 걱정 되기도 하네요... se랑 7중에 고민 중인데 혹시 se가 7보다 측정이 부정확하진 않은가요?,"아사모 -[아이폰,아이폰13 / Pro / Ma...",https://cafe.naver.com/appleiphone
갤럭시워치4 수면 측정까지 쓰시는분...?,http://cafe.naver.com/happy88car/225814,"수면 측정까지 하시는분은 충전을 언제 하시는지요..? 충전이 겁나 빠른것도 아닌데,, 수면 측정하면 배터리 어떻게 감당해야 하나해서 올려봅니당",[스사노]스마트워치 사용자 노리터[타...,https://cafe.naver.com/happy88car
핏빕 zepp 어플에서 수면측정 연동이 안돼요 ㅠ,http://cafe.naver.com/xst/553309,어플 업데이트이후 수면측정 연동이안되는데 삭제했다 깔아도 그대로고.. 혹시 옛날모델이라 안되는건지 저같은분들 또 계실까요?? ㅠㅠ,샤오미스토리 - 가성비 유저 커뮤니티,https://cafe.naver.com/xst
"수면측정 맙쏘삿,,, 저는 왜 잔걸까요ㅋㅋㅋㅋ",http://cafe.naver.com/facebot/724690,"피곤한걸까요 ㅋㅋ 또, 렘 수면일때 꿈을 꾼다고하고 깊게 잠들지 못하면 꿈을 많이꾼다더니 진짠가봐요 꿈을 엄청 많이 꾸거든요 ㅋㅋㅋㅋㅋ와,, 신기방기쓰 다들 수면측정 한번 해보셔요- 자기전에 은근 신경쓰이네옄ㅋㅋ",갤럭시워치 커뮤니티 [갤럭시워치5 / ...,https://cafe.naver.com/facebot
수면 측정... 처음으로,http://cafe.naver.com/facebot/881622,사용기종 : 갤럭시워치4 클래식 46mm 처음으로 수면측정 해 봤습니다. 영 안 좋은 것 같은데요? ㅠㅠ,갤럭시워치 커뮤니티 [갤럭시워치5 / ...,https://cafe.naver.com/facebot
수면측정,http://cafe.naver.com/facebot/807570,사용기종 : 워치4 클래식 42mm 질문내용(구체적으로) : 수면측정은 워치를 하고 수면에 들었을시 자동으로 측정되나요?,갤럭시워치 커뮤니티 [갤럭시워치5 / ...,https://cafe.naver.com/facebot
수면 시 크로니클 켜놓고 잘때.,http://cafe.naver.com/bkrpg/97687,수면측정 가능하게 하는법 있나요? 다른게임은 워치 차면 수면측정 되던데 크로니클은 워치 차고 자도 게임 켜져있으면 수면 측정이 안되네요..,★ 서머너즈 워: 크로니클 공략 카페 ...,https://cafe.naver.com/bkrpg
워치4 수면측정시 저온화상 주의,http://cafe.naver.com/anycallusershow/3825584,한 4일정도 수면 측정 하였는데 어제는 팔목약간 위쪽으로 올려서 차는게 좋다해서 약간 올려차고 약간 타이트하게 스트랩을 했습니다. 자고 일어나니 손목부위가 가렵고 벌겋게 되어 얼음 찜질을 계속해서 지금은... ,삼성스마트폰-Z플립4/갤폴드4/갤럭시S...,https://cafe.naver.com/anycallusershow
수면측정이요...,http://cafe.naver.com/facebot/780283,사용기종 : 갤럭시워치4 질문내용(구체적으로) : 끼고 자기만하면 측정이된다던데 왜 전 측정이 안되는거같죠.... 혹시 잠버릇이 많이심하면 안되나요...?? 글고 수면기록확인는 어떻게하나요?,갤럭시워치 커뮤니티 [갤럭시워치5 / ...,https://cafe.naver.com/facebot
수면 측정관련,http://cafe.naver.com/facebot/783549,사용기종 : 워치4클래식 질문내용(구체적으로) : 일주일 동안 수면측정을 했는데.. 깊은수면이 하루에 1~2분정도로만 측정되네요. 저만 그런건지.. 다른분들은 어떻게 측정되시나요?,갤럭시워치 커뮤니티 [갤럭시워치5 / ...,https://cafe.naver.com/facebot
수면 측정,http://cafe.naver.com/facebot/918569,사용기종 : 클래식 46 질문내용(구체적으로) : 오늘 워치 차고 처음 자볼려고하는데 ㅎㅎ 수면측정은 그냥 차고 자면 되는건가요? 아니면 수면모드 켜야하나요??,갤럭시워치 커뮤니티 [갤럭시워치5 / ...,https://cafe.naver.com/facebot
워치5. 수면체크,http://cafe.naver.com/anycallusershow/4227265,제목에는 간략한 질문내용 표시 사용기종 : 워치5 질문내용 : (구체적으로): 워치가 내가 자는지 어떻게 알고 수면 측정을 하는걸까요? 티비보면서 누워 있음 측정안하는데요...,삼성스마트폰-Z플립4/갤폴드4/갤럭시S...,https://cafe.naver.com/anycallusershow
가민 인스팅트솔라 수면 측정은 어떻게 하나요?,http://cafe.naver.com/finisherclub/51550,아이들이 가민을 사줬는데 수면 측정을 어떻게 하나요? 아무리 봐도 모르겠어요. 걷기나 등산 기록은 잘 이용하고 있습니다.,피니셔클럽,https://cafe.naver.com/finisherclub
워치4 수면측정 안돼네요 ㅠ,http://cafe.naver.com/anycallusershow/3789682,안녕하세요 이번에 워치4 체험단 구매해서 사용중입니다 몇일째 워치4를 차고 자도 수면측정이 한번도 안돼는데 기기적문제일수도 있나요 센터 가야하는지요 ㅠ 그럼 즐거운 주말들 되세요^-^,삼성스마트폰-Z플립4/갤폴드4/갤럭시S...,https://cafe.naver.com/anycallusershow
아오 수면측정 어케하는거야 ㅠㅠ,http://cafe.naver.com/anycallusershow/3812086,체험단이라 수면측정 좀 해볼려고.. 야간근무 쉴때 두어시간 끼고 선잠...잤는데 측정안되네요...-_- 집에서 편안(?)하게 대여섯시간 자야되는건가? ㅠㅠ 어휴..... 이거 노하우 있으신분 없나요? -0- 가라....방법이라도 공유... ,삼성스마트폰-Z플립4/갤폴드4/갤럭시S...,https://cafe.naver.com/anycallusershow
미밴드5 교환 후 수면측정 잘되네요ㅎ,http://cafe.naver.com/xst/461085,우선 교환받고 2일간 테스트해봤는데 아주 잘됩니다 교환전엔 10일중 7일 측정실패 수면측정결과없음이었는데 수면 알고리즘때문인줄알았으나 제가 잠드는 시간은 비슷해요 새벽 4시-늦으면 5시 조금 넘어서 우선은... ,샤오미스토리 - 가성비 유저 커뮤니티,https://cafe.naver.com/xst
수면 측정.. 너무 재밌어요,http://cafe.naver.com/appleiphone/5925411,측정되거든요ㅋㅋㅋ 이게 기계 차이인지 사람 차이인지 궁금하기도 하네요 다음 ios에는 애플 자체에서 수면측정이 들어간다는 얘기가 있는 것 같은데 어떨 지 궁금하네요ㅎㅎ 다들 수면측정 어떻게들 이용하시나요?,아사모 -[아이폰14 / Plus / Pro / Ma...,https://cafe.naver.com/appleiphone
갤핏 수면측정 오류,http://cafe.naver.com/anycallusershow/3991190,(아님 진짜 4시에 잤는데 제가 기억을 못하나....?) 갤핏으로 수면 측정 매일 하는데 이런일은 처음이네요 ..... Ps. 심지어 확인하려고 설정 만지다가 초기화를 시켜서ㅋㅠㅠ,삼성스마트폰-Z플립4/갤폴드4/갤럭시S...,https://cafe.naver.com/anycallusershow
수면측정 오류.,http://cafe.naver.com/anycallusershow/3897834,제목에는 간략한 질문내용 표시 사용기종 : 갤럭시워치4 질문내용 : (구체적으로): 며칠전부터 수면측정이 안되네요... 저처럼 오류 나신 분 있나요???,삼성스마트폰-Z플립4/갤폴드4/갤럭시S...,https://cafe.naver.com/anycallusershow
워치 수면측정 너무 좋아요,http://cafe.naver.com/facebot/718949,수면측정 되길래 해봤는데 너무 신기해요 수면 패턴 확인할 수 있어서 좋은거 같아요 ! 항상 자도자도 피곤했는데 패턴을 보니까 왜 피곤한지 알겠더라구요,갤럭시워치 커뮤니티 [갤럭시워치5 / ...,https://cafe.naver.com/facebot
아이폰+워치 베타 올리신 분들 수면측정시 깊은수면 렘수면 등등 측정이 되시나요?,http://cafe.naver.com/appleiphone/7447518,건강앱에서 수면측정은 되는데 심박수까지는 나오는데 문제는 비수면 렘수면 깊은수면 등의 데이터가 아예 안잡히거든요 ㅠ (워치 착용하고 잤습니다) 혹시 베타라 그런건지 다른분들도 그러하신지 궁금합니다,아사모 -[아이폰14 / Plus / Pro / Ma...,https://cafe.naver.com/appleiphone
스마트밴드로 수면측정 괜찮은듯요...,http://cafe.naver.com/tripworldwater/17475,"필요하신분 사셔 측정해 보셔도 좋을것 같아요 전 입면은 잘되는데 깊은수면이 적고 중간에 깨는게 문제인데 요새 저녁식사후 마그네슘 복용, 자기전 글리신 3g 복용으로 계속 시도중인데... ",불면증/수면장애/우울증/수면제/숙면/...,https://cafe.naver.com/tripworldwater
이거 수면 측정 되는거 맞나요?,http://cafe.naver.com/appleiphone/7453436,뭐 렘수면 이런거 하나도 안나오는데 맞나요,아사모 -[아이폰14 / Plus / Pro / Ma...,https://cafe.naver.com/appleiphone
