title,isEdited,userName,review,rating,date,developerResponse
아쉬운 점,False,안우리,"1. ‘today’시간을 자정 이후에도 계속 되도록 개인이 설정할 수 있으면 좋겠다.
2. 최대 집중 시간이 120분 이상이 가능했으면 좋겠다. 180분만 되어도 좋겠음!",4,2019-01-08 15:30:30,"{'id': 6779300, 'body': 'Hello,\n\nThank you for your feedback. \nWe will forward your suggestions to our team.\n\nFeel free to contact us via our in-app\nfeedback system if you have further questions. :) - Forest', 'modified': '2019-01-11T01:12:03Z'}"
돈이 아깝긴 하다.,False,별명은짓지마,솔직히 이 앱이 왜 유료인지 이해가 안간다. 무료인 다른 어플이 더 유용하다. 나무를 심는건 좋은 아이디어이긴 하지만 초집중모드로 설정을 해놓지 않으면 이 앱을 떠나도 나무는 계속 심어진다. 그렇다면 무슨 효과가 있을까? 시간을 설정해놓고 게임을 하면 그만이지 않나?  난 솔직히 기대미만이다.,5,2020-10-29 14:38:27,
좋아요,False,sua87358002,너무너무 좋은데 하루 시작을 밤 12시 말고 새벽 5-6시로 할 수는 없을까요...,5,2021-03-08 14:53:56,
좋긴한데,False,유유히유유,"휴대폰 안보는 어플로 좋긴한데, 최근에 업뎃되면서 공부 자극 주는 말로 유행어를 섞어쓰고 자극적이고 폭력적으로 보이는 말도 써서 눈살 찌푸러짐. 업뎃할수록 점점 심해지는데 이것때문에 어플 지울까도 생각됨. 그냥 의미없는 말 써놓는게 차라리 낫겠음. 자극적인 문구 쓴다고 공부 동기부여 1도 안되고 그냥 기분만 나쁨.
다른 사람이 쓴 리뷰처럼 담당자가 머리박아야 할듯. 애들이 쓰는 어플인데 머리박아 깍지껴 이런 말이 가당키나 한지 모르겠음.
다음 업뎃 때도 자극적이고 폭력적인 말 수정 안되어 있으면 그냥 돈아까워도 지우겠음. 진짜 나무 사려고 현질도 하고 애정갖고 있던 어플인데 정 확 떨어짐.",1,2020-08-01 01:54:20,
실제 나무심기하면 정말로제 나무가 심긴지 어떻게아나요?,False,todkss,제가 유튜브나 네이버에 검색을 해봤는데 실제로 나무가 심긴 사진이 단 한장도 없어서요 알려주세요.,4,2021-04-24 02:06:46,
‘기본문구’가 구려요,False,Hi345365436,"나무가 자라거나 성공, 실패할 때의 기본문구가 구립니다. 그래서 기본문구를 끄고 개인적으로 설정하여 쓰고 있습니다. 하지만 기본문구의 드립이나 유머는 하나도 웃기지 않으며 동기부여가 되지 않습니다. 심지어 몇달 째 포레스트를 사용하지 않다가 요즘 다시 사용하고 있습니다. 이상한 아재개그 그만하세요 진짜 구려요

이 부분을 제외하고 스마트폰 사용을 억제하는데에 아주 유용하게 사용하고 있습니다. 기본문구를 수정해주세요.",1,2020-08-10 12:05:21,"{'id': 17198285, 'body': 'Hi, Thank you for reporting this issue and sorry for the inconvenience. We will investigate the problem further as soon as possible. - Forest', 'modified': '2020-08-11T01:30:17Z'}"
좋아용,False,쪄니쨔응,예쁜 꽃 사고 싶어서 확실히 폰은 많이 안 보게 돼서 좋은데 벚꽃을 샀는데 꽃이 너무 휑해요..ㅠㅠㅠㅠㅋㅋㅋㅋ 더 풍성해질수는 없겠죠..?!,4,2022-03-30 03:37:31,
홈버튼 눌러서 핸드폰을 사용해도 나무가 자라네요?,False,별명만들기ㅣ싫ㄷ,앱실행후 시간 설정해놓는 동안 홈버튼 눌러서 핸드폰 사용해서 나무가 죽을줄 알았는데 보상이 그대로 되는걸 보고 의아했습니다. 이러면 의미가 없으니까요. 강제성이 없는 어플임은 알지만 뭔가 잘못된것같은데요 돈버린걸까요,1,2020-02-29 07:13:42,
2022 소망나무 구입하게 해주세요,False,번개장터 뉴비,"상점에 없는데, 너무 사고싶네요",5,2022-05-27 04:29:11,
아이패드로 사용하기 불편해요..,False,나두 다운..,주로 아이패드로 이 앱을 사용하는데 화면을 못 돌려서 너무 불편해요 근데 그거 말고 너무 좋아요!,4,2021-06-28 12:33:24,
ipad 호환성,False,AndyL372,"안녕하세요, 아이패드 2세대 12.9인치의 가로모드와 호환성이 너무 떨어집니다 ㅠㅠ 세로모드에서는 괜찮은데 가로모드 호환성이 너무 떨어지네요",3,2020-08-29 15:12:30,
환불해주세요,False,기룡짱,휴대폰 사용을 절제하지 못해서 이앱을 깔았는데 시간을 설정해놓고 다른 앱을 사용해도 나무가 심어지네요. 어제 돈내고 깔았는데 아무런 도움이 안됩니다. 앱의 오류인지 모르겠는데 환불해주세요.,2,2020-02-29 12:44:46,
잘 쓰고 있었는데 멘트 왜 이래요,False,리뷰를작성하진,"나무 키울 때나 죽을 때 유행어 사용하는 건 알겠는데, 감성적인 애플리케이션에 기분 나쁜 문구들이 많이 보여요. 저급해 보이기도 하고요. 수정해 주셔야 할 것 같습니다. 전에는 도움이 되는 문구들이 많았는데 실망스럽네요. 기분 나빠요.

그리고 하루 시간 좀 늘려 주세요. 최소한 새벽 5시 정도까지는 그 전날 공부로 합쳐 주셨으면 좋겠습니다. 이건 꾸준히 나오는 건의 사항인데 매번 반영하겠다고만 하고 고려조차도 안 하시나요? 업데이트 자주 하니까 이것 좀 고쳐 주세요.",1,2020-08-28 05:17:55,"{'id': 17581512, 'body': 'Hi,\nThank you for reporting the issue, we are currently working on it. We are sorry for any inconvenience caused. Feel free to let us know if you have other questions or suggestions! :) ', 'modified': '2020-08-30T10:50:08Z'}"
장단점 그리고 피드백 드립니다,False,안녕하세요05138,"이 앱 덕분에 시간활용 너무 잘하고 있어요!! 초집중모드를 이용하여 폰 사용시간도 감소하고 공부만 딱 집중할 수 있어서 좋아요. 노래를 들으면서 공부 할때 빠르게 음악앱에 들어가서 몇 초안에 포레스트앱을 들어가면 종료되지 않는 기능도 너무 좋아요. 열심히하는 사람들의 숲을 보고 자극도 받을 수 있어요!!

그런데 초집중 모드로 설정하면 중간에 폰으로 사전을 보고싶어도 볼 수 없는게 너무 아쉬워요.ㅠㅠ  또, 기록이 12시에 초기화되지말고, 새벽까지 유지되었으면 좋겠어요. 그리고 친구를 초대하는 것 외에 돈을 버는게 너무 힘들어요. 집중을 오래해도 그에 따른 돈이 너무 적게 들어오고, 미션은 한정적이다보니 돈을 얻을 수 있는 기회가 너무 적어요ㅠ 랭킹 기능도 자극받아서 너무 좋은데 일주일동안 매일 24시간을 모두 측정하는 부정측정이 많이 의심돼서 그 부분에 있어서 수정해주셨으면 좋겠습니다..(예를들어 일주일단위가 아닌 하루단위로 변경)",5,2021-05-23 06:49:31,"{'id': 23585998, 'body': '피드백 감사드려요, 귀한 의견 팀원들에게 잘 전달하겠습니다! 아 그리고 이제 새벽 공부시간도 집계 가능하답니다! 더욱 재밌는 집중되세요🌲', 'modified': '2021-06-25T11:09:34Z'}"
환불 좀 해주세요,False,김석공주녀❤️,폰 안하는거 못하겠기도 하고 나무 진짜로 심는 아이디어는 좋긴 한데 돈 낼 만큼 퀄이 좋은건 아닌거 같아요 ㅈㄱㄴ,3,2020-02-29 18:24:03,
사용하는 의미가 없어요,False,csu01135,"돈을 지불하고 사용하는 이유는 약간의 강제성이 있길 바람인데, 초집중모드 사용 외에는 핸드폰 만져도 나무가 쑥쑥큽니다요. ㅎ 새로운 업뎃이 많이 필요할 것같은 앱이네여.",1,2020-11-11 08:25:24,"{'id': 19081418, 'body': ' Hi,\nBecause of the limitation of the iOS system, we cannot detect which app the user is using, and therefore we are unable to implement the whitelist feature in the iOS version.\nAs a workaround, we\'ve made the ""Deep focus mode"" which you can turn on in the Settings page.\n\nWith the ""Deep focus mode"" off, you\'ll be able to use your phone without killing the tree, but you will also have to refrain yourself from using distracting apps.\nWith the mode on, you\'re expected to stay fully focused while planting, and thus you won\'t be able to use other apps. The mode can only be enabled when your device is secured with a password.\n\nIf you see features like a whitelist in other iOS apps, please let us know and we will try to figure out how they did it.\nFeel free to contact us again if you have any other questions or suggestions. Thank you. :) ', 'modified': '2020-11-13T06:31:06Z'}"
보완되었으면 하는 점,False,GibeomKo,시간 타이머(숫자)만 작동되기보다 시각적으로 시간이 줄어들고 있음을 표현해주는 것이 압박감을 느껴 현 시간 내 집중하는데 도움이 될 것 같습니다. 구글 타이머를 참고하시면 이해가 될 것 같네요. 제 의견이 받아들여져서 어플이 개선되면 좋겠습니다. 이 어플 좋네요. 추천합니다.,4,2020-11-18 09:35:18,
진짜 핸드폰 안하고 집중해서 공부하게 돼요,False,스리라차라몀,"의지박약이라 공부 10분 핸드폰 30분 누워있기 20분  무한반복하던 지난 세월들....... 이대로 살면 안되겠다 싶어서 유료어플 큰맘 먹고 깔아봤는데.... 대박.,,,, 습관적으로 핸드폰 들었다가도 아 맞다 나 나무 키우고 있었지? 다 끝나고 쉬자 좀만 힘내자 이 생각으로 계속 공부하게 돼요.... 🥲 지금까지 자격증 시험 신청만 해놓고 공부 안해서... 10만원 넘게 기부(?) 했는데..... 진작 좀 설치할걸...... ✨ 하지만 지금이라도 깔아서 앞으로의 자격증 시험 응시비 NN만원을 절약시켜준...... 최고의 어플.... 추천합니다.... 저같은 의지박약들에게 초강.... 추...",5,2021-09-09 16:58:46,
최대 시간이 아쉬워요,False,ehlsek,어플 너무너무 좋은데 최대 시간이 2시간인 점이 아쉬워요ㅠㅠ 최대 시간 늘려주시면 좋겠습니다 ! 나머지 다른 기능은 완전 최고예요 👍,4,2019-02-09 17:05:55,
움...,False,박쏘바리바리,"몇 일 전에 깔아서 잘 모르긴모르는데. 좀 별로인거같아요ㅠ  다른 앱이랑 별 차이 없는거같은데 2,500원하고 막 세게 막아주는 그런 기능도 없으니까 ㅠㅠㅠ",2,2020-02-29 12:57:39,
가로모드 지원 부탁드립니다,False,교바크,아이패드로 이 앱 결제한 유저인데 가로모드가 제발 지원되었으면 하는 바램입니다,4,2020-10-11 05:34:00,
너무 좋은 거 같아요,False,disnfjan,핸드폰 때문에 공부에 집중을 너무 못 해서 폴더폰으로 바꿀까 생각 했다가 그건 도저히 엄두가 안 나서 스스로 노력을 많이 하려고 했지만 지금까지 계속 실패했던 사람입니다 ㅜㅜ 모든 걸 총동원 해봐도 도저히 나아지지가 않아서 똑같은 하루를 계속해서 보내다가 이번에 고3이기도 해서 지푸라기도 잡고 싶은 심정에 이 어플을 깔았는데 좀 많이 달라졌던 것 같아요 ㅠㅠ 저는 게임에서 뭔가를 수집하고 꾸미는 걸 굉장히 좋아하는 성격인데 그래서 그런지 예쁜 나무를 사고 싶고 그런 마음에 조금이라도 더 시간을 투자하게 되더라고요 아직까지 돈이 많이 모이진 않았지만 앞으로 더 시간을 들여서 많은 식물들과 꽃들을 모을 생각입니다! 너무 아기자기한 게 마음에 드네요 ㅎㅎㅎㅎ 만들어주셔서 감사해요 ㅜㅜㅜ,5,2021-02-11 17:04:51,
🌲,False,춘장 한 조각,너무 좋은데 미션을 더 다양하게 해서 나무를 심고 공부를 하는데 조금 더 많은 성취감이 있었으면 좋겠어요. 예를 들면 하루 미션 같은 걸로 해서 더 다양하게요.! 그리고 돈을 주고 앱을 샀는데 그 안에서 또 돈을 주고 해야 살 수 있는 것들이 많아 아쉬워요. 큰 돈을 주고 샀는데 단지 공부 시간량 만으로 모든 걸 할 수 없고 결국 더 숲을 꾸밀려면 돈을 써야 된다는게 이 앱의 취지에서 벗어나는 것 같아서 실망이에요.,3,2022-03-25 14:49:35,"{'id': 28848831, 'body': 'Hi there, sorry for the inconvenience. The in-app purchases are all optional, you may also participate in our events to unlock exclusive tree species for free from time to time. Thank you for the suggestions on how we can make our users more engaged with the app, we will forward your request to our team. Thank you for supporting Forest!', 'modified': '2022-03-29T09:40:11Z'}"
환불해주세요,False,ammi1111,"초집중 모드가 있어서 효과가 있는건데..
그럴려고 산건데..
무료인 안드로이드는 되고 유료인 아이폰은 안되고 이게 뭐에요 앞에 공지를 해주시던가...환불해주세요",1,2021-03-03 15:13:27,"{'id': 21520202, 'body': ""Hi,\nUnfortunately, the purchase of Forest made in either iOS or Android is not transferable as we've mentioned in the store description. Apple (App Store) and Google (Google Play Store) sell the apps in their own market and handle all the selling process. They are completely different platforms and thus the purchases cannot be transferred from one to the other. As app developers, we grant distribution rights of our apps to the platforms, but we are not in charge of the app-selling process. We are really sorry that there is nothing more we can do regarding this fact, and that we cannot exchange or give you either the iOS or the Android version of the apps. (We would like to if we could.)\n\nFor this reason, you would need to purchase the iOS and the Android version separately. Once the app has been purchased in the App Store or in the Google Play Store, you can download it and use the same account on multiple devices for that certain platform.\n\nWe kindly ask for your understanding and hope this is clear for you!"", 'modified': '2021-03-08T17:49:17Z'}"
제작자님 들숨에 건강을 남숨에 재력을,False,코앨뤄,"진짜 너무 좋아요
제가 심각한 휴대폰 중독자 였는데
이거 숲키우기 하고 나서우터 괜한 오기가 생겨서 휴대폰을 점점 내려놓게되었어요 정해진시간을 끝내고 받는 캐쉬로 사는 음향효과 나무, 덤불등 사모으는 재미가 쏠쏠합니다.
처음에는 10분 20분씩 시간이 늘어가는 저를보고 1차로 올라웠고 메달..? 따는것도 이제는 너무 즐겁고 재미있네요
친구가 없어서 오픈채팅방에들어가서 같이 하고는 하는데 친구와 함께하는모드를 하게 되면 책임감 때문에 휴대폰을 덜 잡는가 같아요 아주 만족하고 있는 기능입니다. 2500원 투자 충분히 할만한 가치가 있는 어플리케이션입니다. 사랑해요 제작자님 정말 감사합니다. 덕분에 휴대폰에서 탈출해 더 여유롭고 개인시간을 되찾은거 같아요 정말 감사합니다.",5,2019-08-13 18:31:23,
최대 시간 증가 부탁드려요,False,오야어123,"최대시간 3시간까지라서 공부시간응 제대로 측정할 없어서 아쉬워요ㅠㅠ
부디 4시간까지 연장 부탁드려요~",4,2021-03-11 07:39:47,
무조건 해보세요,False,수능황,"저는 안드로이드 휴대전화에 앱을 잠그면서 휴대폰 사용시간을 낮추어 사용해 왔는데 아이패드를 사면서 휴대폰 사용시간이 늘어 3시간 밖에 집중하지 못했습니다. 그래서 앱스토어를 찾아다니다가 이 앱을 사용하게 되었어요. 공부를 하면서 나무를 키운다는 독특한 발상은 정말로 뛰어나신것 같아요. 그리고 집중을 못하고 밖으로 나가게 된다면 나무를 짓밟게 된다는 생각과 내 정원에 썩은 나무가 전시된다고 생각하니 자연스럽게 집중하게 되더라고요. 하지만 이 앱은 iOS용으로는 100% 사용하지 못한다는 것이 아쉬워요. 광고도 제거되고 화이트 노이즈 사용도 되지만 허용앱을 사용할수 없다는 것이 장점이자 단점입니다. 물론 허용앱 금지는 장점이지만 굿노트를 사용해 필기하는 학생으로써 이런 점은 불편했습니다. 물론 그렇게 신경쓰이지는 않았습니다.
저는 이 앱을 사용함으로써 최대 15시간까지 집중할수 있었고 제 삶에 많은 변화가 온 것 같습니다. 고1 학생으로써 여러분들께 이 앱을 강력히 추천합니다!",5,2021-03-07 10:35:45,
나무가 자랄 때의 뿌듯함,False,숲지킴이,"늦은 시간까지 공부는 미루고 폰만 하다보니 내일이 걱정되고, 그럼에도 계속 유튜브를 보는 제가 안타까웠어요. 우연히 공식 인스타그램을 보고 관심이 생겨 리뷰를 찾아보니까 다른 앱들과는 다르게 공부 시간만큼 나의 숲을 채워갈 수 있고, 폰을 보는 순간 응원해주는 글들이 있어 다시 노력하게 되었어요. 나중에는 실제로 나무도 심을 수 있다고 하더라구요. 열심히 공부시간을 모아서 꼭 나무를 심어보고 싶어요 ㅎㅎ
아무튼 이 앱을 깐지는 얼마 안되었지만 효과는 정말 좋은 것 같아요! :) 개발자분께 감사드립니다.",5,2021-11-04 16:23:54,
업데이트 이후로 다른 어플 알림만 떠도 나무가 죽네요,False,gungcub,반년 넘게 잘 쓰고 있었는데 너무 불편해졌어요.. 아쉽지만 이 부분이 개선이 안된다면 다른 어플로 갈아타야 할 것 같아요ㅠㅠ,1,2019-08-11 03:26:45,"{'id': 10188231, 'body': ""Hello, sorry for the inconvenience. This issue has been resolved in the latest version (v.4.10.2). Please update to the new version, and your trees won't die again because of lock screen navigation or notifications. We'd really appreciate it if you update the review and rating when you've seen the improvement. Thank you! :) - Forest"", 'modified': '2019-08-15T18:42:27Z'}"
이게 뭔가요? 멘트가 진짜 저급하네요.,False,킥백,"쓰다가 화나서 리뷰 남기러 왔습니다.
돈주고 샀는데 멘트가 왜이렇게 저급하나요?
머리 딱 대라고 하질 않나, 깍지 끼라 하질 않나.
하나같이 다 수준 낮습니다.
기분 진짜 더럽습니다. 차라리 명언을 쓰시죠.",1,2020-08-02 23:38:31,"{'id': 17131230, 'body': 'Hi, thank you for your feedback. We will take it into consideration. Providing our Forest friends a better platform is our pleasure. -Forest', 'modified': '2020-08-07T01:02:47Z'}"
