title,date,userName,review,rating,isEdited,developerResponse
다 좋은데...,2017-12-09 20:03:22,dmgkgkgk,"계정은 한국계정인데
워치어플에서 글자들이 다 일어로 떠요ㅜㅜ
기계를 일본에서 사서그런가여
근데 기본 시계나 그런건 다 한국어 잘만 뜨는데
영어도아니고 일어라니ㅜㅜ",3,False,
시간 기록 이상합니다..,2022-08-28 22:10:58,어떻게좀해보셈,"맨날 11시쯤 자는데 12시부터로 기록돼 있네요;;;
전엔 잘 되더니 왜이러는 건지.. 아이폰 수면에는 제대로 11시 수면으로 찍혀있는데 데이터를 왜 이딴식으로 가져오시는지 궁금하네요",2,False,
개발자님 수정해주세요,2021-10-23 20:39:21,mate3939,원래는 축정이 잘 됐었는데 저번주부터 애플워치를 끼고 있으면 안끼고 있는것으로 인식하고 애플워치를 안끼고 있으면 애플워치를 착용한 것으로 뜹니다. 그리거 애플워치 안끼고 잤는데 bpm이랑 다 측정 된것으로 나오는데 이건 기능이 없는데 있는 것 처럼 만드신건가요?,2,False,
배터리가 빨리닳아요,2021-06-29 15:54:23,왕진지,워치 없이자면 8시간 기준 2~3퍼센트 닳는데 수면측정 위해 워치 착용 하고 자면 측정은 정확하지만 20%가까이 닳아있어서 좋아도 배터리 때문에 못쓰겠어요 ㅠㅠ 저만 그런가요,2,False,
전 야간근무를 하는데요,2020-02-11 18:32:03,모조치즈,"이거 야간 근무시간에도 수면으로 측정되네요 ㅠㅠ
아침에 자는데 어떻게 설정해야하나요",4,False,
수면 기록 잘 쓰고 있습니다 확실히 잘 잔날은 수면 점수가 좋더라구요,2021-06-17 00:09:58,츠루토,"근데 매일 자기 전 애플워치로 알람 시간을 맞춰야해서 번거로움이 있습니다.
휴대폰에 깔린 어플에서 요일, 시간별로 알람을 세팅해놓는 기능이 있으면 좋겠네요(예-주중(월~금) 아침 6:30~7:00 사이 얕은 수면일 때)
그리고 워치에서만 짧게 알람이 울리는게 부족한 것 같아서 워치 말고 휴대폰에서 기상알람이 울리는 기능이 있으면 좋겠습니다.",4,False,
정말 좋은 앱이네요 !,2018-02-10 08:06:49,아담송곳,"정말 좋은 앱이네요 ! 

돈이 아깝지가 않네요 

측정값이 너무 정확해서 깜짝 놀랐어요 !",5,False,
수면 품질 측정 로직이 의심됨,2021-01-10 11:31:24,부장님,"전반적인 수면 품질 측정에 대한 신뢰성이 떨어지는 것 같습니다. 
저는 잠들는데 통상 1시간 이상 소요되는데 잠들기 전이 분명함에도 깊은 수면으로 측정되고 있습니다. 
움직임 감지 및 처리가 매우 부적절 한것 같고 깊은 수면은 심박수가 떨어져야 되는것 같은데 전혀 매칭이 되지 않습니다. 
움직임의 세분화, 심박수 패턴 분석등 수면 분석에 대한 로직이 의심되는 어플인것 같습니다.",1,False,
아주 좋아요,2020-01-10 15:03:56,Kappa357,샤오미 미밴드4 쓰다가 애플워치5로 넘어왔는데요! 애플워치에는 기본앱으로 수면 측정 기능이 없어서 서드파티 앱들중에 고민하다가 이걸로 샀어요. 샤오미꺼보다 더 좋아서 너무 마음에 드네요. 수면 측정도 아주 잘 돼요. 가끔 이상하면 보정도 해줄 수 있어서 좋아요. 다만 기본적으로 하루가 오후9시부터 24시간으로 설정이 되어 있어서 오후 9시 이전에 자면 오후9시에 그 날 수면 종료로 나오더라구요. 그래서 하루 시작 시간을 바꿔주니까 해결됐어요. 밑에 리뷰중에 8시 59분에 잤더니 9시에 수면 종료 되어있더라 라는 분 있었는데 아마 이 문제가 아닌가 싶네요. 그런 경우엔 하루 시작 시간을 한 8시정도로 바꿔보시면 좋을 것 같아요. 아무튼 기능도 좋고 측정도 잘되고 너무 좋아요.,5,False,
정말 너무 좋은 앱입니다,2021-08-20 08:17:56,nutzliche,"일단 구독형이 아니라서 좋고요!!! 그리고 수면의 질에 대해서 다각도로 분석을 해주는 점이 좋습니다. 인터페이스에 한 번 적응이 되면 꽤 직관적이라는 것도 느끼게 되고요.
영어로 사용중이라 한글화에 대해서는 코멘트할 수 있는게 없지만^^; 그래도 수면을 꼼꼼히 관리하기에 제일 좋은 앱이에요.",5,False,
좋아요,2020-12-24 21:24:38,Yhsl1004,이번에 애플워치 구매하면서 수면패턴 알려주는 어플을 찾아봤는데 오토슬립을 알려주더라구요 근데 유료 어플은 한번도 다운받아본적 없어서 고민햇는데 다운받아보니 돈 아깝지 않네요!! 진짜 신기하게 제가 딱 잠든시간이랑 일어난시간을 정확히 알려주더라구욯ㅎㅎ만족하며 잘 쓰고 있습니다!!,5,False,
평소 앱리뷰 안쓰는데,2021-07-30 06:38:25,땍땍이마왕,"두달전 se를 사면서 기존에 갖고 있던 0세대 활용을 생각하다가 알게되어 사용해본 결과 
진심 좋은거 같아요 낮에는 se쓰고 집에서 0세대 착용하고 잘때도 모니터링이 되어 제 수면상태를 체크하는데 얼추 맞는거 같기도 하면서 만족스러워요",5,False,
수면측정이 안돼요,2021-06-22 20:50:59,솜줘,안되는 날도 많고 일어나있었는데 잠들어 있다고 나오고 이상해요,2,False,
에러,2021-10-26 04:45:18,휴궁,"워치를 착용하고 잤는데 착용하지 않았다고 뜨네요..
며칠째 계속 측정이 잘 되지않고 에러가뜹니다ㅠㅠ",1,False,
마음에 듭니다,2020-05-15 01:32:17,별명을지을게없어요,"아주 잘 쓰고 있습니다. 매일매일 측정하며 삶의 질을 향상시키려고 노력하게 되더군요. 그런데 설명이 부족합니다. 측정치에 대해 간략하게나마 설명이나 요약이 있었으면 합니다. 예를 들어 “취침시간을 앞당기세요”, “편안한 마음으로 잠자리에 드세요”, “충분한 수면이 필요합니다” 등 말이죠. 앞으로 더 나은 발전을 기대해 봅니다",5,False,
기능이 너무 많고 복잡함.......,2021-12-02 07:22:23,나정ㅇ이,"잘쓰는 사람은 잘 쓰겠지만 
1. 영어->한글 번역 하면서 직관적으로 다가오지 않는 단어들이 몇개 있음 
예를 들어 수면 품질 : n 시간 이라고 표현되는데 
쉽게 말하면 이 항목은 제대로 잘 잔 시간을 알려줌  
'실질 수면'이라고 나와있는것도 있더만 
왜 '수면 품질'이 대표 제목으로 쓰인지는 모르겠고 
2. 수면 시간 보정 중에 
a. 일어난 시간 : 9시 / 수면 방해 시간 : 1시간 
b. 일어난 시간 :8시반 / 수면 방해 시간 : 0분 
일어난 시간이 9시라면 9시를 선택하면 될것임 
다만 무의식중에 방해받았는지를 어떻게 앎? 
보정 방법에 대해 매우 불친절함 
3. ☠️모든 설명을 앱 외 사이트로 돌림 
앱 내에서 설명을 해주지 않으면 접근력이 떨어져서 이용자들에게 전달이 떨어지는건 다 알텐데 한글 패치도 다 해놓고 어째서 설명서 언어도 따로 선택해야만 하는 방법을 선택했는지는 잘 모르겠음
한국어 선택하면 설명이 나오지도 않음 
4. 나는 1일에 결제했는데 왜자꾸 사용하지 않은 29일 30일에 1일 내용이 자기맘대로 복제돼서 추가 되는지 모를일 ㅡㅡ 
5. 검색해보니 다들 이 많은 기능을 두고 체념한채 몇가지만 사용하는듯함.......다만 어플 제작은 기능 전시만 한다고 되는게 아니지요 접근성을 뜯어 고치기 바랍니다",3,False,
거의 정확해요,2018-12-04 00:54:43,민마리,"Apple Watch를 차고 자거나, 애플 워치를 차고 자지 않아도 거의 정확합니다. 정말 신기한 것 같아요. 하지만 아쉬운 게 있다면 앱이 좀 어려운거 같아요. 제가 이해력이 부족한 것일 수도 있지만 설정이라던지 아니면 현재까지 기록된 내용에 대한 자세한 설명이 부족한것 같아요. 그리고 자다 보면 움직이게 되는데, Apple Watch룰 차고 자다 보면, 중간에 제가 일어나 있는 걸로 기록이 되어 있는 적도 있더라구요. 이런 점은 보안 되면 좋을 것 같습니다.",5,False,
정확도가 나쁘지 않다.,2020-04-01 07:58:21,줄리에트보몽,"애플워치를 어떻게 활용할까 둘러보다가 그냥 받았는데요, 일단 잠자는 동안은 나를 전혀 관찰할 수 없는데 나를 관찰해주는 게 좋습니다. 
잠에 든 시간 등을 보면 정확도도 나쁘지 않은 것 같은데요. 
그런데 낮잠을 잘 때도 있어서, 그건 안 되는 것 같더라고요. 
아무튼 좋고요,
불면증이 오래 됐는데 이걸 보면서 잠 자는 것에 좀 더 정성을 기울입니다.",5,False,
👍,2021-04-18 22:38:38,ㅠㅅㅣ,"평소에 잠을 자도 잔 것같지 않았고 많은 사람들이 이 앱을 추천하길래 앱을 깔아서 사용해보았는데, 잠을 얼마나 자야 되는지 내가 잠을 잘 자고 있는지 등을 알 수 있어서 좋았습니다.. 
근데 이 어플은 수면에 대해서 알려주고 싶은 것이 많아 조금 복잡해보입니다..ㅠ 그래서  이 어플에 있는 모든 기능을 유용하게 사용하지 못해 조금 아쉽습니다.!",5,False,
스마트알람이 설정이 안됩니다ㅜㅜ,2021-07-17 02:12:29,우아ㅓ아아ㅏ,"잘 사용하고 있는데 스마트 알람을 설정하려고 하면 백그라운드 세션을 예약할 권한이 없다고 뜨고 백그라운드 활성화를 눌러도 그 뒤에는  오토슬립 에러라고 뜨면서 Smart Alarm failed with reason -1, error WKExtendedRuntime Session을 시작하거나 일정을 예정하려면 앱이 활성화되고 applicationWillResignActive 앞에 있어야 합니다.
라고 뜨는데 어떻게 해야 해결되나요ㅠㅠ",4,False,
에러,2020-11-30 15:57:46,수현리릴리,왜 계속 에러가 뜨는거에여 맞게 연결 했는데 ㅡㅡ 계속 안돼요 수면 보려고 샀다가 스트레스를 삼,1,False,"{'id': 19474746, 'body': '안녕하세요, 더 많은 도움을 드릴 수 있도록 appsupport@tantsissa.com 또는 앱의 지원 링크를 통해 이메일을 보내 주시기 바랍니다. 감사.', 'modified': '2020-12-01T23:55:32Z'}"
잘 사용하고 있습니다. 과수면,2022-07-30 01:51:54,리뷰에없는이름이필요해ㅣ,"잘 사용하고 있습니다. 
한 가지 아쉬운 점이 있어 코멘트 남깁니다. 
과수면의 경우, 수면 측정 값이 긍정적으로 기록되는 문제가 있습니다. 하루에 12시간 이상 수면하는 문제를 갖고 있는데 수면 품질이 100%로 기록됩니다. 이 부분만 개선되면 좋겠어요.",5,False,
좋은 앱인거 같아요.,2019-11-18 01:17:09,Dearmycoco,"불면증도 있고 항상 잠을 설쳐서 수면패턴을 알고 싶었습니다. 이 앱 말고도 다른 수면앱들을 사용 해봤는데 불편하고 잘 안하게 되더라고요.
근데 이 앱은 워치 페이스에 빼두니까 자기전에 한번씩 더 체크하면서 작동시키니까 편하기도 하고 앱 자체에 제가 원하는 정보들이 많아서 제가 어떤 수면패턴을 가지고 있는지 깔끔하게 확인이 됩니다.",5,False,
앱오류있는거 같아요,2022-07-22 01:32:50,박보굥,"워치5 유저입니다.
환경소음이 체크 되다가 안되더라구요
시리즈4이상부터 된다는데 전 이상인데 왜 갑자기 안될까요?
확인 좀 해주세요ㅜㅜ",5,False,
갑자기 에러나서 이도저도 안되네요 ㅠ,2020-09-27 09:14:01,혜미니미니,"평소에 아주 잘 사용하고 있었습니다! 한달 넘게 문제 없이 잘 사용중이었어요! 
근데 갖자기 에러가 났네요 ㅠㅠ
대부분 ios 업데이트 문제라고 하던데
업데이트 하고 일주일가량 잘쓰다가 갑자기 어제부터 에러가 뜨는데 혹시 몰라 이것저것 다 체크하고 워치 연결해제 재연결 해도 똑같네요 ㅠ 업데이트 문제인가요? 해결은 언제쯤 될까요?",4,False,
좋긴 하나 정확도는 떨어집니다,2020-10-18 01:24:12,찐빵마니아,"깊은 수면, 얕은 수면은 언제인지 알려줘서 참 고마운 앱입니다
허나 침대에 누워있다 나중에 잠이 드는 경우가 많은데 그땐 다 얕은 수면 혹은 수면방해됨 으로 기록됩니다 즉 제가 진짜 그 시간에 잠든 게 아닌데도 그렇게 인식을 해요
수동으로 수면 시작 버튼을 누르고 자야 그나마 정확합니다",5,False,
최고의 수면을 위해서!,2021-01-31 03:12:57,zzzziuuuuu,"애플워치를 사고 가장 효율적으로 사용하는 방법이 뭘까라고 물었을때 다들 이 어플을 추천하더라구요!
덕분에 저의 수면 패턴 및 습관들을 확인할 수 있어서 정말 좋았습니다 감사합니다 :)",5,False,
ios 업데이트 후 에러,2020-11-09 03:35:45,wedancedance,그동안 잘 쓰고 있었는데 이번에 워치 업데이트하면서 새로 생긴 수면기능을 사용하니까 어플이 작동하지 않습니다. 기본 어플보다 정확한 정보를 제공해줘서 좋았는데 둘 다 쓸 수 있도록 어플도 업데이트 해주세요...,4,False,"{'id': 19027373, 'body': '안녕하세요, 둘 다 사용해도 좋습니다. 더 많은 도움을 드릴 수 있도록 appsupport@tantsissa.com 또는 앱의 지원 링크를 통해 이메일을 보내 주시기 바랍니다.', 'modified': '2020-11-10T22:29:07Z'}"
12시전 취침하는걸 전날말고 당일에 포함시킬순 없나요?,2021-03-25 23:00:46,아아어러루투투트탙,"분명 오후10쯤 잣는데 기록이 안되어서 확인해보니 전날 수면한걸로 되어있더라구요. 오후10시~오전 7시 까지 한번에 잔건데 10-12, 12-7 이렇게 따로따로 나뉘니까 좀 불편한거같아요!",5,False,
수면트래킹 굿,2018-05-26 00:12:06,Youny76,"애플워치 사용자들에게 가장 많이 쓰인데서 자도 사용중.
정확도 높고 아주좋네요!
유료라 아쉽지만 수면 조절하는건 컨디션 조절에 너무나 중요해서 전 매우 유용하게 사용중입니다.
특히 깊은수면은 수면의 퀄리티를 나타내기에 이 정보 또한 매우 유용하네요.
만족합니다!",5,False,
후기,2022-02-12 02:49:11,corudrkd,"평점이 완전 호, 불호로 갈려서 
고민을 했지만 사고 보니까 정말 잘 되더라구요
앞으로도 매일매일 차고 잘 거 같아요 !!
시스템 오류 안 나게 평생 앱 유지해주세요 😍",5,False,
수면어플 가성비 좋음,2020-05-29 08:57:54,민트맛 마시멜로우,pillow 수면어플도 좋지만 구독형이라서 Autosleep 으로 옮겼는데 기능도 그렇게 차이가 안나서 좋음. 그리고 한번 구매하고 쓰니까 걱정도 없네요. 이번 업데이트도 좋네요. 배터리 알림이라 ㅎㅎ,5,False,
소음과 호흡 비활성화(애플워치7+아이폰xs),2022-03-20 01:27:09,발자국27,"후기가 좋아서 깔아봤나, 소읍과 호흡 활성화가 안되네요. 앱 상의 설명대로 하기도 해봤고, 2021년도이 다른분들이 설정한 방법대로 다 해봤는데 안되네요. 아무래도 앱 오류인듯 합니다. 반쪽짜리 기능만 시용중이라 아쉽네요. 오류 해결 바랍니다.",3,False,
오류가 있는 줄 알았습니다,2020-03-13 18:42:51,우호으호,"첫 2일은 제대로 기록이 되지만 3일째, 낮 2시에서 밤 9시 사이의 수면 기록이 아예 잡히지 않았더군요.

찾아보니 저 처럼 오류로 수면시간이 잡히지 않는 분들도 계셨고요.

근데 이게 수면 시간이 일정치 않아서 생기는 문제 같더군요.",5,False,
불면증이라,2020-11-14 13:50:59,데이지바니,"수면에 대해 궁금해서 깔았습니다
분명 꿈도 안꾸고 잘 잔다 생각했는데 항상 얕은 잠만 자고 2.3시간 밖에 못잔다는 걸 알게되었어요
그래서 항상 아프고 힘들지만
대한민국 다 화이팅!!",5,False,
유튜브 보고 사지 마세요,2021-10-01 14:47:43,극어어,댓가를 지불하고 불편을 사지 맙시다. 처음 워치 사고 유튜브에 휩쓸려 샀으나 한국에서 서비스 하는데 정작 매뉴얼은 번역없이 서비스를 지속하고 있습니다. 개선의 의지가 보이지 않으므로 굳이 소비를 지속 할 필요 없다고 생각됩니다.,5,False,
너무 잘쓰고 있어요.,2021-09-10 02:21:13,ㅁㄴㅇㄹㅎㅎㅍㅊㅌㅋㅇ,"제 수면 트렌드가 한눈에 보이니 수면시간이나 수면의 질이 신경을 쓰게 되었어요. 
그러면서 일상에 활기도 생기고 루티너리한 일상이 가능해 졌습니다. 스트레스도 훨씬 줄고, 추천 합니다.",5,False,
돈 값 합니다,2021-03-22 23:45:09,앱등나무,평소 잠을 푹 자지 못한다고 생각해서 쓰기 시작했는데 확실히 술 먹고 잔 날은 수면 품질이 떨어지네요 ㅋㅋ 산소포화도도 낮게 측정되고 ㅜ 수면 관리에 많은 도움을 받고 있습니다.,5,False,
버그가 있습니다,2021-02-10 04:44:42,짜증나게좀하지마,"사용하기에는 너무 좋은데 일할 때는 애플워치를 빼 두는데(충전x) 그 시간이 수면시간으로 측정되네요, 그러기만 하면 상관 없지만 편집으로 그 시간들을 제거하면 어플이 계속 자동종료되어 다시 켤 수가 없습니다 그럴 때마다 어플을 삭제하고 다시 받는데 수면시간 측정하기가 불편하네요",4,False,
만족감 높습니다,2022-02-03 02:47:30,신진식,"반년정도사용중인데, 수면체크에 가장 만족도가높습니다. 일관성있는 수면생활하려고 노력하게되네요. 덕분에 건강해지는데 도움이 되는것같아 만족스럽습니다.",5,False,
3점 드립니다.....,2020-10-22 01:43:42,슈퍼콘초코,수동으로 시간 맞추는 것까지는 할 수 있는데 잠에서 깬 게 카운트가 하나도 안 되네요. 눈 뜨고 침대에서 기지개 좀 켠 수준까지 읽기를 바라진 않았지만 깨고 침대에서 일어나서 걷고 손 씻고 두시간동안 다른 짓을 해도 그대로 취침으로 카운트 돼서 수면시간이 8시간으로 집계가 되었네요.. 정확도가 상당히 의심스러워집니다 구매가 약간은 후회 돼요,3,False,
정말 최고의 앱입니다,2020-01-26 02:04:30,푸핰핰,"잠은 그냥 자는건가보다 생각하던 때가 있었습니다
근데 너무 피곤하고 자도 잔거같지가않고
사람들의 추천으로 쓰게되었는데 정말 왜 피곤한지
알게됩니다 수면패턴을 알게되니 내가 똑똑해지는 기분입니다!",5,False,
애플워치 se는 환견소음기능이 안되나요?,2021-09-08 23:07:46,wo0k22,시리즈4이상에서만 사용가능하다는데 워치4이상이라는건지요?초기설정시 그런문구본것같은데 잘못선택해서 기능이안되는건지..설정에서변경가능한지?se모델은안되는지 궁굼합니다.,4,False,
굿,2020-06-11 01:07:41,노고운,"이전에 핏빗에 비해 복잡하긴 한데, 직관적으로 만들어 눈에 잘 띄기는 합니다
아직 의미에 대한 이해가 부족해 제대로 활용하고 있는지 의구심이 좀 들긴 합니다
애플워치가 꺼지면 잠을 깬 걸로 인식하는데, 그 부분은 스마트폰을 통한 인식으로 자동전환되면 좋을 것 같습니다",4,False,
인식부분에관한 의문,2022-09-16 11:29:34,DianaMKYK,"기준이 뭔지 모르겠으나 딱 출퇴근 운전하는 시간에 수면기록이 남아있어 당황했습니다
졸음운전도 아니고 멀쩡하게 운전했거든요...
제일 집중한 시간인데 수면기록으로 남아있어서 어떻게된일인지 궁금합니다",4,False,
수면 관리 앱으로 잘 쓰고 있어요,2021-09-02 02:30:39,bluesesang,"다들 추천하는 앱이었고 저 역시도 잘 쓰고 있습니다.

근데 리뷰를 작성해도 계속 평가해달라고 아래 나오는데 이것 좀 없앨 수 없나요?
이거 때문에 별 하나 뺐습니다",4,False,
가격은 올랐지만 이만힌게 없습니다.,2021-11-20 00:47:02,고경태1208,"1,000원 오른 상태로 구매했습니다. 
5,900원이지만 월구독료가 없는게 가장 큰 장점입니다. 
유사하고 좋은 프로그램들 많지만 매년 몇만원은 기본으로 깨지거든요. 
정말 좋습니다.",5,False,
수면측정이,2021-12-21 07:23:03,헤힇,아이폰 15.2 업데이트 후 계속 에러상태입니다 어플 업데이트를 빨리 해주셔야 할 것 같아요,5,False,
추천합니다,2021-11-23 23:01:35,ljw8318,워치를 사고 싶은 이유 중 하나가 수면측정이었는데 이 어플이 그 점을 상당히 만족스럽게 채워주네요 측정도 거의 정확하고 측정하는 요소들도 많아서 좋네요 돈이 안 아까워요~,5,False,
일어난 시간변경가능허게 해주세요,2020-09-10 00:01:16,두두구구두,"제가 오늘 6시 23분에 일어나면서 시계를 봤고 물한잔마시거 바로 시계를 벗고 샤워를 햄씁니다
하지만 측정값는 7시 15분이네요 
일어난시간을 조정가능하게 해줄 순 없을거려???",4,False,
너무너무 좋은데,2020-10-13 14:41:12,연우다내가짱이야다비켜,진짜 측정도 잘 하고 얼마나 똑똑한지 몰라요 근데 코골았을 때를 캐치해서 저장해 두거나 그런 기능이 추가되면 완벽할 것 같아요 ㅎㅎ,5,False,
구매내역 환불 좀;;,2022-09-22 15:56:00,인스타 관리자,"기본 앱이 훨씬 나음 돈 돌려주세요
커피 한잔 값 보다 비싼데 이게 뭐냐;;
5900원 갖다 버린느낌 제발 구매내역 삭제하고
환불 좀 환불 좀",5,False,
"나무 좋아요 미친,,,",2021-10-04 21:54:53,네즈0110,"너무 좋아요 매일매일 아침마다 보는게 재밌고 우리가 언제 자는지 주변 소음부터 누워서 얼마나 있었는지 얼마나 깊게 수면했는지 수면의질 호흡 다 나옵니다,,진짜 너무 좋아요 돈 값 합니다 꼭 사세요",5,False,
